"Registration_Date"	"Brand_Name"	"Model_Name"	"Province_Registration"
20210226	"Opel"	"Combo"	"HUESCA"
20220318	"Renault"	"Captur"	"HUESCA"
20230227	"Audi"	"Q4 e-tron"	"HUESCA"
20210125	"Audi"	"Q2"	"HUESCA"
20230728	"Opel"	"Corsa"	"HUESCA"
20210330	"Citroën"	"C5 Aircross"	"HUESCA"
20230428	"Citroën"	"C5 Aircross"	"HUESCA"
20210916	"Citroën"	"C5 Aircross"	"HUESCA"
20210831	"Audi"	"Q8"	"HUESCA"
20231018	"Audi"	"Q8"	"HUESCA"
20221229	"Renault"	"Arkana"	"HUESCA"
20220823	"Opel"	"Vivaro"	"HUESCA"
20211129	"BMW"	"X2"	"HUESCA"
20211005	"BMW"	"X2"	"HUESCA"
20230228	"Citroën"	"C3"	"HUESCA"
20210528	"Renault"	"Megane"	"HUESCA"
20230420	"Peugeot"	"407"	"HUESCA"
20230309	"Jeep"	"Renegade"	"HUESCA"
20211007	"Jeep"	"Grand Cherokee"	"HUESCA"
20221003	"Jeep"	"Renegade"	"HUESCA"
20221010	"Toyota"	"Highlander"	"HUESCA"
20220128	"Mazda"	"CX3"	"HUESCA"
20220329	"Toyota"	"Hi Lux"	"HUESCA"
20211015	"Toyota"	"Hi Lux"	"HUESCA"
20230614	"Toyota"	"Yaris Cross"	"HUESCA"
20231026	"Subaru"	"Solterra"	"HUESCA"
20230227	"Mazda"	"CX30"	"HUESCA"
20210927	"Mazda"	"MX-30"	"HUESCA"
20220908	"Ford"	"Ranger"	"HUESCA"
20230530	"Ford"	"Ranger"	"HUESCA"
20220620	"Mazda"	"CX5"	"HUESCA"
20231219	"Toyota"	"Hi Lux"	"HUESCA"
20230630	"Hyundai"	"Kona"	"HUESCA"
20210729	"Toyota"	"Land Cruiser"	"HUESCA"
20220318	"Toyota"	"Land Cruiser"	"HUESCA"
20230530	"Kia"	"Picanto"	"HUESCA"
20220530	"Hyundai"	"Kona"	"HUESCA"
20210513	"Kia"	"Stonic"	"HUESCA"
20210518	"Toyota"	"RAV 4"	"HUESCA"
20220128	"Kia"	"Niro"	"HUESCA"
20230410	"MG"	"MG 5"	"HUESCA"
20220614	"Kia"	"Stonic"	"HUESCA"
20210826	"Suzuki"	"Jimny Pro"	"HUESCA"
20211021	"Suzuki"	"Jimny Pro"	"HUESCA"
20230530	"Suzuki"	"Jimny Pro"	"HUESCA"
20230831	"Mazda"	"CX30"	"HUESCA"
20210602	"Mazda"	"CX30"	"HUESCA"
